"date","price_wti","price_brent","dxy","price_gold","real_rate"
2022-02-01,91.64,97.13,114.9977,1900.7,-0.52
2022-03-01,108.5,117.25,116.2908,1953.04,-0.72
2022-04-01,101.78,104.58,117.1688,1911.7,-0.14
2022-05-01,109.55,113.34,119.6962,1847.26,0.21
2022-06-01,114.84,122.71,120.0257,1817.4548,0.53
2022-07-01,101.62,111.93,122.7512,1766.4309,0.53
2022-08-01,93.67,100.45,122.3178,1708.58,0.39
2022-09-01,84.26,89.76,125.5946,1660.8799,1.14
2022-10-01,87.55,93.33,127.4806,1632.38,1.59
2022-11-01,84.37,91.42,124.8527,1768.61,1.52
2022-12-01,76.44,80.92,122.2343,1824.3233,1.36
2023-01-01,78.12,82.5,119.8101,1928.1201,1.29
2023-02-01,76.83,82.59,120.3084,1826.7404,1.41
2023-03-01,73.28,78.43,120.745,1969.5459,1.36
2023-04-01,79.45,84.64,119.2451,1990.6,1.19
2023-05-01,71.58,75.47,119.6293,1965.2,1.36
2023-06-01,70.25,74.84,119.297,1919.5693,1.55
2023-07-01,76.07,80.11,118.0492,1964.3387,1.6
2023-08-01,81.39,86.15,119.8563,1939.8281,1.83
2023-09-01,89.43,93.72,121.6455,1848.4898,2.04
2023-10-01,85.64,90.6,123.4971,1984.0109,2.41
2023-11-01,77.69,82.94,121.2221,2044.8957,2.2
2023-12-01,71.9,77.63,119.8331,2062.9233,1.84
2024-01-01,74.15,80.12,120.2274,2039.1538,1.79
2024-02-01,77.25,83.48,121.0659,2044.1997,1.93
2024-03-01,81.28,85.41,120.6588,2231.5551,1.9
2024-04-01,85.35,89.94,122.1428,2285.9886,2.15
2024-05-01,80.02,81.75,121.8583,2327.2836,2.15
2024-06-01,79.77,82.25,123.7095,2326.7177,2.05
2024-07-01,81.8,85.15,123.3824,2409.6865,1.97
2024-08-01,76.68,80.36,122.6137,2503.3796,1.76
2024-09-01,70.24,74.02,121.8849,2664.4143,1.62
2024-10-01,71.99,75.63,123.5953,2746.7019,1.81
2024-11-01,69.95,74.35,126.3113,2651.247,2.03
2024-12-01,70.12,73.86,127.5758,2624.603,2.09
